Ranking,Project Name,Stars,Forks,Language,Open Issues,Description,Last Commit
1,freeCodeCamp,325850,26047,JavaScript,251,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,2021-07-08T02:58:28Z
2,996.ICU,257794,21338,Rust,16814,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,2021-06-24T11:16:12Z
3,free-programming-books,195047,43089,None,33,📚 Freely available programming books,2021-07-06T15:03:37Z
4,vue,185340,29546,JavaScript,533,"🖖 Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web.",2021-07-07T14:14:44Z
5,coding-interview-university,183683,49950,None,46,A complete computer science study plan to become a software engineer.,2021-07-03T14:30:32Z
6,react,171041,34573,JavaScript,764,"A declarative, efficient, and flexible JavaScript library for building user interfaces.",2021-07-08T02:11:42Z
7,awesome,165269,21105,Shell,46,😎 Awesome lists about all kinds of interesting topics,2021-07-07T13:52:21Z
8,developer-roadmap,165043,23852,None,73,Roadmap to becoming a web developer in 2021,2021-06-26T06:42:42Z
9,tensorflow,157221,85077,C++,3639,An Open Source Machine Learning Framework for Everyone,2021-07-08T02:51:15Z
10,bootstrap,151660,73899,JavaScript,401,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",2021-07-07T22:34:08Z
11,You-Dont-Know-JS,141478,28052,None,124,A book series on JavaScript. @YDKJS on twitter.,2021-07-06T09:03:02Z
12,system-design-primer,137729,25163,Python,208,Learn how to design large-scale systems. Prep for the system design interview. Includes Anki flashcards.,2021-06-30T14:01:21Z
13,public-apis,136595,16215,Python,49,A collective list of free APIs,2021-07-08T02:11:07Z
14,CS-Notes,134373,43124,Java,105,📚 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计,2021-06-30T00:42:05Z
15,ohmyzsh,130159,22356,Shell,728,"🙃 A delightful community-driven (with 1800+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, OSX, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool so that makes it easy to keep up with the latest updates from the community.",2021-07-08T01:26:34Z
16,flutter,124319,17841,Dart,9373,Flutter makes it easy and fast to build beautiful apps for mobile and beyond.,2021-07-08T02:33:21Z
17,gitignore,120654,66675,None,293,A collection of useful .gitignore templates,2021-07-07T10:39:06Z
18,vscode,118150,19312,TypeScript,5754,Visual Studio Code,2021-07-08T01:55:14Z
19,linux,114507,37835,C,324,Linux kernel source tree,2021-07-07T20:39:54Z
20,javascript-algorithms,112510,18566,JavaScript,241,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,2021-06-30T15:53:09Z
21,Python,111418,30570,Python,36,All Algorithms implemented in Python,2021-07-07T11:24:14Z
22,build-your-own-x,111281,9898,None,181,🤓 Build your own (insert technology here),2021-06-30T08:18:36Z
23,javascript,110809,21328,JavaScript,123,JavaScript Style Guide,2021-07-06T22:44:42Z
24,JavaGuide,106965,36759,Java,55,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！,2021-07-06T14:21:59Z
25,Python-100-Days,105646,41927,Python,574,Python - 100天从新手到大师,2021-07-03T06:46:31Z
26,awesome-python,100288,19434,Python,174,"A curated list of awesome Python frameworks, libraries, software and resources",2021-07-05T15:01:41Z
27,d3,97502,22719,JavaScript,3,"Bring data to life with SVG, Canvas and HTML. 📊📈🎉",2021-07-04T17:09:58Z
28,youtube-dl,97193,5406,Python,4303,Command-line program to download videos from YouTube.com and other video sites,2021-07-07T04:23:06Z
29,react-native,96448,20989,JavaScript,1916,A framework for building native apps with React.,2021-07-08T00:51:51Z
30,the-art-of-command-line,92800,10146,None,199,"Master the command line, in one page",2021-06-22T13:28:39Z
31,fucking-algorithm,92786,18074,None,33,"刷算法全靠套路，认准 labuladong 就够了！English version supported! Crack LeetCode, not only how, but also why.",2021-07-06T12:35:47Z
32,computer-science,91573,12573,None,18,🎓 Path to a free self-taught education in Computer Science!,2021-06-26T01:23:48Z
33,create-react-app,88873,22287,JavaScript,1158,Set up a modern web app by running one command.,2021-07-07T17:36:00Z
34,go,87543,12821,Go,7230,The Go programming language,2021-07-07T23:50:42Z
35,axios,85659,8394,JavaScript,248,Promise based HTTP client for the browser and node.js,2021-07-02T05:03:43Z
36,free-programming-books-zh_CN,81112,23649,None,22,📚 免费的计算机编程类中文书籍，欢迎投稿,2021-05-25T00:52:10Z
37,node,80282,20645,JavaScript,1420,Node.js JavaScript runtime ✨🐢🚀✨,2021-07-08T01:53:25Z
38,30-seconds-of-code,79215,8547,JavaScript,7,Short JavaScript code snippets for all your development needs,2021-07-08T00:51:39Z
39,kubernetes,78840,28691,Go,2798,Production-Grade Container Scheduling and Management,2021-07-08T02:56:40Z
40,deno,76511,4034,Rust,624,A secure JavaScript and TypeScript runtime,2021-07-08T01:22:55Z
